N,roundName,0,10,20,30,40,50,60,70,80,90,100
3,Deal,0.21621342592586185,0.253717592592519,0.2764699074073284,0.3024180555554656,0.31734842592583046,0.34073888888880144,0.3607115740739785,0.3860921296295137,0.4115124999998917,0.4546412037035853,0.7375796296298713
3,Flop,0.03205128205128205,0.12523658970182777,0.16745470614228897,0.20427246195538876,0.24722222222222223,0.29347826086956524,0.34916201117318435,0.4175824175824176,0.5199855072463768,0.65949146514936,0.9835164835164836
3,Turn,0.01,0.0983572780213196,0.16397444831591168,0.22376311844077967,0.28165484633569743,0.34766009852216745,0.41985714285714293,0.5217759764185704,0.6274237288135593,0.7427901785714287,0.9914772727272728
3,River,0.0,0.017717391304347827,0.08108791655200429,0.15751028806584363,0.24208208493841255,0.32767785312033104,0.4327592578904576,0.5497250014627582,0.6872370266479664,0.8450056941332063,1.0
4,Deal,0.1538246031746181,0.18347361111110164,0.2078404761904466,0.22498432539677496,0.2398777777777157,0.2556837301586567,0.2766873015872137,0.29639503968246583,0.3236460317459921,0.3612626984126695,0.64169206349201
4,Flop,0.002717391304347826,0.0874792817679558,0.12021857923497267,0.1507936507936508,0.18483986787304324,0.227859477124183,0.2790055248618785,0.3453038674033149,0.4344262295081967,0.5597920997921,1.0
4,Turn,0.0,0.06857142857142857,0.11084355846333716,0.15688905833015632,0.20635843484680694,0.2655367231638418,0.3352147852147852,0.4377777777777777,0.5421592365759862,0.6764386925162416,1.0
4,River,0.0,0.004745249139607966,0.03696876600102407,0.08828505026483631,0.1778895554530073,0.28516140129579726,0.3890974405029189,0.4962337596683686,0.6407807192104364,0.8008799171842652,1.0
5,Deal,0.11985912698413352,0.14388955026455147,0.1644267195766948,0.1788013227512866,0.19304947089943156,0.20449391534386516,0.2216708994708444,0.24064166666658415,0.2672031746030732,0.3008251322749863,0.5620788359785003
5,Flop,0.0,0.06222222222222223,0.08783933104375094,0.11446241551875354,0.14223544446342373,0.17559055118110234,0.21682439782439786,0.2756609686609687,0.35718902257134344,0.4866071428571429,1.0
5,Turn,0.0,0.04077942948975492,0.07692307692307693,0.1117510259917921,0.1465646875810215,0.18524803639084808,0.24417236662106703,0.3244390617032125,0.4247809062092113,0.5830284552845532,1.0
5,River,0.0,0.0,0.0077448048462541216,0.029317897371714655,0.07670243773184952,0.15772870662460567,0.25407233931824097,0.38225747406955446,0.5311206896551723,0.6957030913631277,1.0
6,Deal,0.09861044973545477,0.11928756613757588,0.13615793650795002,0.14821071428572058,0.16001626984126932,0.17108134920634566,0.18587962962962296,0.2030281746031661,0.2233435185184708,0.2516242063491844,0.4952829365081563
6,Flop,0.0,0.045218769191550504,0.06722224801522819,0.0889653099314454,0.11388691182285487,0.14401086956521741,0.18034288116255337,0.2306871345029239,0.305411380502885,0.41862134193835543,1.0
6,Turn,0.0,0.028409090909090905,0.05902247222455435,0.0874792817679558,0.1201436388508892,0.15751712328767123,0.209551656920078,0.27530136923986714,0.38215349694992207,0.551271645021645,1.0
6,River,0.0,0.0,0.0,0.012493315508021397,0.04878048780487805,0.1099645390070922,0.20147704893198037,0.3222852736914509,0.478637690223056,0.7070230607966458,1.0
7,Deal,0.08369880952380154,0.10277718253966332,0.11751924603172315,0.12718948412696165,0.14047837301585006,0.15040892857140956,0.1606684523809344,0.1757674603174574,0.2013876984127131,0.22532400793654284,0.4387936507934692
7,Flop,0.0,0.03409090909090909,0.05342206563580609,0.07242707833413321,0.09403965599617775,0.12041884816753927,0.15268881402191992,0.19990783410138246,0.2702587694077056,0.3770228806872973,1.0
7,Turn,0.0,0.017647058823529408,0.04191774891774892,0.06695856943115756,0.0921004167878259,0.12359550561797752,0.17007589162832765,0.2349872163630552,0.3341571529245949,0.49302801063177276,1.0
7,River,0.0,0.0,0.0,0.003048780487804878,0.020449897750511245,0.06779661016949153,0.1382113821138212,0.25416666666666643,0.4150943396226415,0.6484848484848484,1.0
8,Deal,0.0732685185185185,0.09019027777777766,0.10384907407407294,0.11444074074074087,0.12552546296296085,0.13655555555555293,0.1472597222222234,0.15660324074073878,0.17868287037036984,0.19888703703703955,0.3907361111111449
8,Flop,0.0,0.026013692190162783,0.04229307639501813,0.05945601652608022,0.07804777902202312,0.0999545867393279,0.1261578974544328,0.1645966368667518,0.22163691993880677,0.3293463748179317,0.9906103286384976
8,Turn,0.0,0.008334920211753057,0.02548970757684283,0.04651162790697674,0.06849508551969662,0.09270833333333334,0.12809139157367203,0.1789732868757259,0.2589863407620418,0.41163470913227174,0.987603305785124
8,River,0.0,0.0,0.0,0.0,0.00598802395209581,0.035584216682946826,0.0966658361105055,0.21131217838764954,0.3997921633351674,0.6433095392602207,1.0
9,Deal,0.06556481481481947,0.07997222222222948,0.09128148148149128,0.1024907407407495,0.11085555555557004,0.12154074074075692,0.13109259259261005,0.1405444444444613,0.16082037037039004,0.1768722222222482,0.3496740740740043
9,Flop,0.0,0.022727272727272728,0.03693005889138486,0.05121852823952563,0.06747492453013926,0.08899735722237828,0.11661485319516411,0.15339775998876484,0.20645645645645644,0.30221481614924245,1.0
9,Turn,0.0,0.007369526758071653,0.023722420989862852,0.04476406533575319,0.06626998437312179,0.08988578928262267,0.1206896551724138,0.16946373992775768,0.24942737762767642,0.39823446508648314,0.9942196531791908
9,River,0.0,0.0,0.0,0.0,0.0010507773381013222,0.018404907975460124,0.06795735129068467,0.16569579288025887,0.3060230658867681,0.5663942484945308,1.0
10,Deal,0.04817222222222226,0.05884305555555569,0.0677044444444446,0.07669833333333344,0.0823825000000001,0.09218999999999984,0.09823027777777772,0.11059083333333317,0.13010055555555494,0.14458472222222202,0.3117405555555555
10,Flop,0.0016260162601626016,0.022071597913703177,0.03518518518518518,0.0464103929621171,0.05645161290322582,0.07563828328534211,0.0917957957957958,0.11359126984126984,0.15569369802946445,0.19426070657008515,0.7514619883040936
10,Turn,0.0,0.009189391363481809,0.027423456413386227,0.03631526104417672,0.05049912362605862,0.07009075512095356,0.09302325581395349,0.11076555023923444,0.1470467032967033,0.254159776767259,0.8165680473372781
10,River,0.0,0.0,0.0,0.0,0.001658374792703151,0.01651422764227642,0.05590062111801242,0.06822365393465249,0.11403508771929825,0.19521604938271603,0.9896907216494846
